"","logFC","logCPM","PValue","FDR"
"gene:MD16G1051600",4.18557760148852,7.57981172839308,0,0
"gene:MD10G1198300",4.18470703451246,4.55668950596536,0,0
"gene:MD08G1216100",4.17540303462328,5.35128292107496,0,0
"gene:MD15G1244500",4.16260782763042,5.08117419387127,0,0
"gene:MD06G1023500",4.16153560680366,6.22876875566861,0,0
"gene:MD11G1054100",4.13412367290046,8.39822864518558,0,0
"gene:MD02G1157800",4.12784574619547,7.43738808373312,0,0
"gene:MD11G1051300",4.11285702825991,5.63599805027926,0,0
"gene:MD11G1027500",4.10401178110014,7.82890727201089,0,0
"gene:MD12G1073700",4.10339366732402,4.83128725014395,0,0
"gene:MD02G1165300",4.07944017344799,4.96192366864964,0,0
"gene:MD07G1186300",4.05231286512922,5.37969580183444,0,0
"gene:MD15G1435300",4.04372856610813,4.53741798545426,0,0
"gene:MD12G1017600",4.04265596905592,4.40842763407329,0,0
"gene:MD09G1280400",-4.02456713207721,5.54599336983455,0,0
"gene:MD15G1387600",4.02357342724065,4.87800014128762,0,0
"gene:MD02G1140100",4.02333514287745,6.83989135861259,0,0
"gene:MD08G1178000",4.0176988693425,4.63057441638004,0,0
"gene:MD15G1358500",4.01660294232074,4.53896921685495,0,0
"gene:MD10G1214300",4.00248828503781,4.31010513363916,0,0
"gene:MD15G1187300",-3.99524909004081,5.47117804918848,0,0
"gene:MD11G1272500",3.99351824038856,5.01025423848404,0,0
"gene:MD15G1154800",3.99171030012851,8.10441651571489,0,0
"gene:MD17G1132900",3.97646739420902,6.98436209175125,0,0
"gene:MD05G1083900",3.97099446026973,7.07842466692278,0,0
"gene:MD06G1057100",3.94204901865648,4.88411564022083,0,0
"gene:MD15G1363500",3.94097616848338,4.59596953138727,0,0
"gene:MD03G1183500",3.92166147901977,5.38142653600086,0,0
"gene:MD10G1062300",3.91627195393009,8.14151323423391,0,0
"gene:MD05G1000500",3.90730877576312,6.44606296814638,0,0
"gene:MD14G1219500",3.89585208539597,7.60687200645913,0,0
"gene:MD15G1006300",3.87568182311945,6.95982013866506,0,0
"gene:MD15G1131700",-3.87406105403103,6.10685690737271,0,0
"gene:MD07G1305400",3.87160380270115,5.11588879227417,0,0
"gene:MD07G1237500",-3.85320159112289,4.3662712231217,0,0
"gene:MD06G1102300",3.85022297116678,4.73712462681184,0,0
"gene:MD11G1095300",3.83482636782682,8.56496752017427,0,0
"gene:MD01G1111200",3.8268894096672,4.88289468345302,0,0
"gene:MD02G1093500",-3.82043155482246,8.45341788664597,0,0
"gene:MD08G1163300",3.81642807940806,5.13601602564794,0,0
"gene:MD10G1215200",3.81114151262784,6.07527819784261,0,0
"gene:MD16G1026000",3.80819205459312,5.90619448702899,0,0
"gene:MD05G1059300",3.78418101593912,5.26721316235666,0,0
"gene:MD15G1203500",-3.77985353636962,4.85083085337281,0,0
"gene:MD15G1272500",3.76987344394675,7.18021143574842,0,0
"gene:MD05G1086900",-3.76980093716575,5.51794638953693,0,0
"gene:MD17G1150300",3.75693512055981,5.59109682137357,0,0
"gene:MD05G1163300",3.73656549682426,5.1447023192016,0,0
"gene:MD03G1172000",3.73412155900918,5.49167099029289,0,0
"gene:MD02G1317800",3.72333876373872,9.9095851500952,0,0
"gene:MD16G1083800",3.71618488776256,4.684132561448,0,0
"gene:MD16G1064200",3.71600131933702,6.5661707327552,0,0
"gene:MD01G1213600",3.69867275491376,6.83311471295695,0,0
"gene:MD09G1224500",3.6936152493675,4.46092547740807,0,0
"gene:MD14G1072000",3.68222346131414,4.63275609509388,0,0
"gene:MD10G1086500",3.67626784164491,4.59671505471169,0,0
"gene:MD14G1219000",3.67572070971168,4.95031361345715,0,0
"gene:MD01G1053700",3.67444070415513,6.2457315302764,0,0
"gene:MD17G1003500",3.67042325421767,6.51310073492633,0,0
"gene:MD13G1101200",3.66722183121408,5.13088242885092,0,0
"gene:MD05G1122100",3.65953895327313,5.3459775264283,0,0
"gene:MD09G1195100",3.65849489062733,5.17145217240917,0,0
"gene:MD13G1087400",3.65384726786854,5.08277151070552,0,0
"gene:MD04G1173100",3.64915063928604,5.22302478175936,0,0
"gene:MD15G1033900",3.64754835767907,4.67921736841297,0,0
"gene:MD06G1235500",3.62997524522758,5.31869360411194,0,0
"gene:MD08G1092400",3.62713866823567,7.0108748481062,0,0
"gene:MD17G1243400",3.60896759602925,5.79212401078697,0,0
"gene:MD02G1115000",3.60522567411592,4.80251720281587,0,0
"gene:MD08G1236800",3.60262596205165,4.57948237138759,0,0
"gene:MD15G1291700",-3.60066187536623,9.15397410581202,0,0
"gene:MD16G1056700",3.59166318472498,5.07530808626087,0,0
"gene:MD03G1034900",3.59045274076516,7.29469698760244,0,0
"gene:MD05G1358300",-3.58864531352698,5.74056985532707,0,0
"gene:MD10G1171800",3.58383248110285,4.87370460773457,0,0
"gene:MD05G1021100",-3.57650107528183,5.0119882129163,0,0
"gene:MD09G1292900",3.56293885049411,6.56579163772505,0,0
"gene:MD11G1115000",-3.55521893862438,9.27238621717074,0,0
"gene:MD10G1258000",3.54930853263626,4.68132623418232,0,0
"gene:MD06G1201700",3.5467545225272,7.08587714886011,0,0
"gene:MD17G1046500",3.54324747654504,5.47312931508462,0,0
"gene:MD16G1176400",3.54290468322271,4.82812000051204,0,0
"gene:MD14G1162200",3.51444551358697,4.76124846712125,0,0
"gene:MD17G1215200",3.50611894599144,5.34331729465742,0,0
"gene:MD05G1260400",3.50127972685883,6.35719877501272,0,0
"gene:MD12G1143700",3.48553773290948,8.05603214254896,0,0
"gene:MD16G1229100",3.4816855245858,4.94622819097362,0,0
"gene:MD06G1077900",3.47197146215236,4.62839151750075,0,0
"gene:MD03G1107900",3.46869378741264,4.63420872133916,0,0
"gene:MD08G1025800",-3.46522505619684,8.93245637220104,0,0
"gene:MD10G1321500",3.46515305831967,6.28277380880255,0,0
"gene:MD01G1065800",3.43621148837754,5.12882443438891,0,0
"gene:MD04G1151300",3.42981586977366,6.62486609399978,0,0
"gene:MD03G1228300",3.42939370452997,5.32185162006547,0,0
"gene:MD09G1127000",-3.42562339890878,8.57911780161292,0,0
"gene:MD09G1082900",3.4251259561113,5.85729917144228,0,0
"gene:MD04G1057200",3.42356129225428,4.70293762537861,0,0
"gene:MD15G1216100",3.42304170687429,6.17267306541195,0,0
"gene:MD02G1028800",-3.40397922353137,5.52696301021654,0,0
"gene:MD05G1216300",3.39259265278749,4.61668621606753,0,0
"gene:MD15G1411600",3.37855588783403,5.3731913212701,0,0
"gene:MD05G1112000",3.37457025001326,6.94161789512746,0,0
"gene:MD10G1063600",3.3698629203971,5.53390355873142,0,0
"gene:MD00G1104700",3.34915389938718,6.01134802294753,0,0
"gene:MD15G1428700",3.34743026715296,7.61563588030097,0,0
"gene:MD05G1213700",3.3358819620783,5.11485074816798,0,0
"gene:MD17G1048800",3.33323480239599,4.70777320037073,0,0
"gene:MD17G1123800",3.32503046901249,5.5996719591433,0,0
"gene:MD04G1031300",-3.31391226779509,5.30286990744925,0,0
"gene:MD17G1269000",3.29817467788761,6.17741250330788,0,0
"gene:MD10G1192100",3.2820473608161,4.6615252993752,0,0
"gene:MD14G1227500",3.2772948687356,4.83697557430442,0,0
"gene:MD15G1427500",3.27462863643045,4.86135932199439,0,0
"gene:MD05G1169600",3.2738976846303,8.0758720934036,0,0
"gene:MD11G1306700",3.27124943308367,5.12418227329579,0,0
"gene:MD02G1259200",3.2694285536533,5.91697510686194,0,0
"gene:MD10G1125400",3.26678940770401,6.20209905420226,0,0
"gene:MD17G1229400",3.2667286133509,7.68907109458722,0,0
"gene:MD15G1372200",-3.26068898355331,7.81541104494508,0,0
"gene:MD06G1032500",3.25004881789395,4.91670138076536,0,0
"gene:MD08G1057600",3.24656885145935,5.01081560227903,0,0
"gene:MD10G1153700",-3.24290822419361,5.65945092572856,0,0
"gene:MD07G1206700",-3.23613752647079,9.46747450723999,0,0
"gene:MD09G1028900",-3.22663676176451,9.29854783923447,0,0
"gene:MD12G1240300",3.22149353878261,5.60523639263266,0,0
"gene:MD07G1184900",3.216479295154,4.67710684871226,0,0
"gene:MD15G1246200",3.20827640077821,6.16741899797222,0,0
"gene:MD09G1224200",3.20480584922189,7.26911494043798,0,0
"gene:MD09G1000800",3.20330937088785,6.81290843162832,0,0
"gene:MD07G1134800",3.19173011265843,5.33709070636045,0,0
"gene:MD02G1132200",3.18807524343514,6.94863960555382,0,0
"gene:MD03G1165600",3.18001657326752,4.79604622876822,0,0
"gene:MD17G1033700",3.17987189877414,4.65152192931297,0,0
"gene:MD15G1289400",-3.17226570404724,4.85892561357373,0,0
"gene:MD17G1281900",3.17018212295757,8.48040403109898,0,0
"gene:MD15G1076600",3.16285569621572,6.28485800937563,0,0
"gene:MD02G1140000",3.16093061876069,9.08491047362021,0,0
"gene:MD04G1070300",3.15456997509356,7.50859395354379,0,0
"gene:MD01G1032200",3.1534909348132,4.74588433649934,0,0
"gene:MD07G1061500",3.148300992482,5.11485160260132,0,0
"gene:MD06G1002800",3.14652919128388,6.04339724047279,0,0
"gene:MD07G1141400",3.13973014482205,5.17744240838786,0,0
"gene:MD12G1155300",-3.1375772209529,6.39615652480688,0,0
"gene:MD03G1085700",3.13188498970329,5.38402167798761,0,0
"gene:MD06G1175500",3.12882334140667,7.11957525681557,0,0
"gene:MD15G1334400",3.12831651720614,4.90471958751074,0,0
"gene:MD12G1149800",3.12762425175277,5.13191272320174,0,0
"gene:MD07G1136200",3.11729358853508,5.57908766061231,0,0
"gene:MD02G1151000",-3.11549939164598,4.99964577567123,0,0
"gene:MD16G1191400",3.1076942116261,5.70982044661532,0,0
"gene:MD12G1197200",3.1068683137318,4.75659093901986,0,0
"gene:MD00G1125400",3.10581033259585,7.12281108823963,0,0
"gene:MD15G1033000",3.10407779844697,5.38013288938067,0,0
"gene:MD05G1111300",3.09478533402752,4.93802284928834,0,0
"gene:MD16G1006000",3.09252625511839,5.13037029152496,0,0
"gene:MD08G1135800",3.08424136237772,4.78693623375807,0,0
"gene:MD05G1282700",-3.08418931305223,7.05660896999192,0,0
"gene:MD13G1160700",-3.08373875161642,5.54984110140315,0,0
"gene:MD16G1129900",3.0813884236731,6.72468070157788,0,0
"gene:MD09G1231700",3.07678698665648,5.88042896656497,0,0
"gene:MD08G1104000",-3.07524226514265,6.8050488404324,0,0
"gene:MD09G1028800",-3.07188369297021,6.8231462253398,0,0
"gene:MD11G1169900",3.06797835884273,5.09863936746885,0,0
"gene:MD07G1281600",-3.06130480055182,5.00470672714781,0,0
"gene:MD04G1031400",-3.05572494534196,5.8780736527139,0,0
"gene:MD09G1045700",3.05564991297967,5.26440603788535,0,0
"gene:MD03G1223800",3.0496155770828,4.99564520064114,0,0
"gene:MD10G1017300",3.03894398809612,5.12624861246223,0,0
"gene:MD02G1255300",3.03425719571909,5.20994111939869,0,0
"gene:MD07G1002000",3.0338509303085,7.32704899647398,0,0
"gene:MD06G1217200",3.0186093425918,4.89263749935362,0,0
"gene:MD04G1216600",3.00929931540555,5.13294084334536,0,0
"gene:MD05G1106800",-3.0040180055988,8.26201176822495,0,0
"gene:MD05G1054800",3.00011508680647,6.43653275995082,0,0
"gene:MD11G1070800",-2.98035587246537,6.24133722163818,0,0
"gene:MD15G1303500",-2.97954250401826,9.24581044528871,0,0
"gene:MD09G1097200",2.97509780422861,6.680918545273,0,0
"gene:MD02G1290900",2.97409962905617,4.89687794066622,0,0
"gene:MD10G1140700",-2.96869580655221,4.80836456403956,0,0
"gene:MD17G1049600",-2.96662976880869,5.35971620734428,0,0
"gene:MD07G1053900",2.96214016538191,5.0390457674986,0,0
"gene:MD12G1131800",2.95258440815041,4.96134917715229,0,0
"gene:MD10G1311000",2.94048006744122,9.16508749719011,0,0
"gene:MD14G1032100",2.93856566690564,5.71669135044761,0,0
"gene:MD15G1208500",2.92468127119717,4.98657939522882,0,0
"gene:MD01G1154100",2.92331179405518,5.24457897027045,0,0
"gene:MD09G1255700",-2.91362293320611,5.11021855020978,0,0
"gene:MD07G1175900",2.90857227904251,5.88226453584908,0,0
"gene:MD13G1174700",2.9083522028458,5.45105709557977,0,0
"gene:MD15G1441800",2.90484050691407,6.52704914780441,0,0
"gene:MD02G1299000",2.90427980842634,5.24410378984358,0,0
"gene:MD11G1027800",2.90185477980367,5.25405493193023,0,0
"gene:MD09G1079600",2.89965831496829,6.82440640956009,0,0
"gene:MD06G1037700",2.89504481817459,5.02748921425231,0,0
"gene:MD16G1069300",2.88651646859853,4.84640429301134,0,0
"gene:MD11G1131700",2.88567267186179,4.83508421187849,0,0
"gene:MD02G1005800",-2.88249867588358,5.71059204892597,0,0
"gene:MD00G1107800",2.88132670195847,5.73033421187478,0,0
"gene:MD10G1197600",2.87833755441717,5.1719554853007,0,0
"gene:MD05G1205800",2.87390502173744,5.69215457316078,0,0
"gene:MD04G1071000",2.8731651274026,6.01358464140203,0,0
"gene:MD09G1167700",2.87307665055198,10.2507011090218,0,0
"gene:MD08G1063400",-2.8708958602861,5.4634323159408,0,0
"gene:MD04G1246200",2.86272296378365,6.3541247611924,0,0
"gene:MD09G1081000",2.85266140544762,5.53623868568521,0,0
"gene:MD06G1161400",-2.8445845273203,8.84240366514379,0,0
"gene:MD14G1193100",2.82410952449092,8.37685872477105,0,0
"gene:MD14G1213600",2.82196207371097,6.0784895127704,0,0
"gene:MD08G1121600",-2.81752926362643,6.52484121147407,0,0
"gene:MD00G1061800",2.80757879260883,6.89211870329257,0,0
"gene:MD00G1019700",2.80162365490435,5.06673347535065,0,0
"gene:MD12G1018200",-2.79825067002691,5.34116197279364,0,0
"gene:MD01G1061400",2.79760933027553,5.39219990489918,0,0
"gene:MD03G1231800",2.79713746120353,5.59856005793352,0,0
"gene:MD02G1106500",-2.79433192244411,5.216315673507,0,0
"gene:MD13G1026200",2.78312586844506,4.97115020462674,0,0
"gene:MD00G1204700",2.78221053341172,6.30003579243297,0,0
"gene:MD17G1227300",2.77789227112572,5.07584602711036,0,0
"gene:MD17G1113400",2.7778503536384,6.2278185191083,0,0
"gene:MD02G1171900",2.7757639303863,5.54089159468842,0,0
"gene:MD01G1072100",2.77382439693927,6.2033275706747,0,0
"gene:MD14G1043600",-2.77197443143608,7.22786324428202,0,0
"gene:MD10G1195700",2.76825196230818,5.69006246034099,0,0
"gene:MD02G1020700",-2.76731119303263,5.8332549008716,0,0
"gene:MD17G1128600",2.76039318080112,6.63197803285609,0,0
"gene:MD08G1016600",-2.75869336818577,6.54409037542724,0,0
"gene:MD01G1062800",-2.75693154414639,7.41692499404349,0,0
"gene:MD03G1002900",2.75664552611479,6.81819491161258,0,0
"gene:MD13G1101400",2.75480546626193,5.8089427699252,0,0
"gene:MD11G1046500",2.7541568029155,4.99508148379855,0,0
"gene:MD09G1168300",2.74439567014817,5.06350390548613,0,0
"gene:MD02G1135700",2.73972248354511,5.89473838938754,0,0
"gene:MD05G1113900",2.73780505835811,5.22640292073132,0,0
"gene:MD13G1263800",2.73624251397661,6.18783794063175,0,0
"gene:MD17G1066300",2.73561425527756,5.31417574033147,0,0
"gene:MD10G1332700",-2.72449825565113,7.47126311331087,0,0
"gene:MD10G1092200",2.72203821947911,5.96537064946077,0,0
"gene:MD07G1166600",2.71726728672424,5.25594348443433,0,0
"gene:MD03G1117300",2.70871740057363,8.66391522602116,0,0
"gene:MD00G1036300",2.70456897079329,6.99147821783727,0,0
"gene:MD15G1071400",2.7039114946914,6.28694145762176,0,0
"gene:MD15G1170000",-2.69586020714168,5.72121997170454,0,0
"gene:MD11G1247800",2.6878662309293,6.55625977826484,0,0
"gene:MD09G1192100",-2.68765320228605,5.24178272484059,0,0
"gene:MD10G1086700",2.68510795126929,6.07154103996644,0,0
"gene:MD07G1037300",2.68283063269017,4.98088513825903,0,0
"gene:MD08G1152200",-2.67061938952965,5.53203147864082,0,0
"gene:MD11G1095000",2.66946835742489,5.20750677546995,0,0
"gene:MD08G1023900",-2.66912892076286,5.60605265256158,0,0
"gene:MD10G1218100",-2.66451945657632,5.92895140175318,0,0
"gene:MD05G1274700",-2.65946434259329,9.07678757195428,0,0
"gene:MD05G1047300",2.65545474409165,6.58018743637818,0,0
"gene:MD04G1164600",-2.65543475539984,8.43119257315835,0,0
"gene:MD07G1297100",2.65531996567117,5.35525763622986,0,0
"gene:MD12G1196800",2.65028511966414,5.22303027988093,0,0
"gene:MD14G1170900",2.64705608745493,6.01051577074512,0,0
"gene:MD05G1230600",2.63821599221917,5.53040316066367,0,0
"gene:MD10G1050200",2.63818202937897,7.78116857099511,0,0
"gene:MD10G1024100",2.6319121099018,5.57493846427934,0,0
"gene:MD10G1332800",-2.63181299615324,5.9498035563176,0,0
"gene:MD12G1161300",2.6278637431078,9.66190334048901,0,0
"gene:MD09G1071400",2.62604471391693,8.41679687404038,0,0
